,,Totals,General Movie Purchaser,Genral Movie Purchaser Pacific,Genral Movie Purchaser Pacific Male,Genral Movie Purchaser Pacific Female,Movie Purchaser Pacific 18-24,"Movie Purchaser Pacific 18-24 male
","Movie Purchaser Pacific 18-24 Female
",Movie Purchaser Pacific 25-34,Movie Purchaser Pacific 25-34 male,Movie Purchaser Pacific 25-34 Female,Movie Purchaser Pacific 35-44,Movie Purchaser Pacific 35-44 Male,Movie Purchaser Pacific 35-44 Female,Movie Purchaser Pacific 45-54,Movie Purchaser Pacific 45-54 Male,Movie Purchaser Pacific 45-54 Female,Movie Purchaser Pacific 55+,Movie Purchaser Pacific 55+ Male,Movie Purchaser Pacific 55+ Female
,Vert%,91.44,96.58,94.96,93.78,96.58,98.19,95.73,100,98.19,95.73,100,94.31,100,87.92,94.48,89.4,99.47,83.61,72.03,99.22
,Horz%,100,34.07,6.11,3.48,2.63,0.83,0.34,0.49,0.83,0.34,0.54,1.47,0.82,0.64,1.05,0.48,0.57,0.78,0.39,0.39
,Index,100,106,104,103,106,107,105,109,107,105,109,103,109,96,103,98,109,91,79,109
,,,,,,,,,,,,,,,,,,,,,
* Proj relatively unstable due to small base-use with caution.,,,,,,,,,,,,,,,,,,,,,
# Proj too small for reliability-shown for consistency only.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Simmons Fall 2017 NCS Adult Full Year Study,,,,,,,,,,,,,,,,,,,,,
Weighted by: Population,,,,,,,,,,,,,,,,,,,,,
(C) 2017 Simmons Research LLC.  All Rights Reserved,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Thursday, July 19, 2018 / 7:08 PM",,,,,,,,,,,,,,,,,,,,,
